Number,AbilityName,IsHidden
1,Chlorophyll,True
1,Overgrow,False
2,Chlorophyll,True
2,Overgrow,False
3,Chlorophyll,True
3,Overgrow,False
3,Thick Fat,False
4,Blaze,False
4,Solar Power,True
5,Blaze,False
5,Solar Power,True
6,Blaze,False
6,Drought,False
6,Solar Power,True
6,Tough Claws,False
7,Rain Dish,True
7,Torrent,False
8,Rain Dish,True
8,Torrent,False
9,Mega Launcher,False
9,Rain Dish,True
9,Torrent,False
10,Run Away,True
10,Shield Dust,False
11,Shed Skin,False
12,Compound Eyes,False
12,Tinted Lens,True
13,Run Away,True
13,Shield Dust,False
14,Shed Skin,False
15,Adaptability,False
15,Sniper,True
15,Swarm,False
16,Big Pecks,True
16,Keen Eye,False
16,Tangled Feet,False
17,Big Pecks,True
17,Keen Eye,False
17,Tangled Feet,False
18,Big Pecks,True
18,Keen Eye,False
18,No Guard,False
18,Tangled Feet,False
19,Gluttony,False
19,Guts,False
19,Hustle,False
19,Hustle,True
19,Run Away,False
19,Thick Fat,True
20,Gluttony,False
20,Guts,False
20,Hustle,False
20,Hustle,True
20,Run Away,False
20,Thick Fat,True
21,Keen Eye,False
21,Sniper,True
22,Keen Eye,False
22,Sniper,True
23,Intimidate,False
23,Shed Skin,False
23,Unnerve,True
24,Intimidate,False
24,Shed Skin,False
24,Unnerve,True
25,Lightning Rod,True
25,Static,False
26,Lightning Rod,True
26,Static,False
26,Surge Surfer,False
27,Sand Rush,True
27,Sand Veil,False
27,Slush Rush,True
27,Snow Cloak,False
28,Sand Rush,True
28,Sand Veil,False
28,Slush Rush,True
28,Snow Cloak,False
29,Hustle,True
29,Poison Point,False
29,Rivalry,False
30,Hustle,True
30,Poison Point,False
30,Rivalry,False
31,Poison Point,False
31,Rivalry,False
31,Sheer Force,True
32,Hustle,True
32,Poison Point,False
32,Rivalry,False
33,Hustle,True
33,Poison Point,False
33,Rivalry,False
34,Poison Point,False
34,Rivalry,False
34,Sheer Force,True
35,Cute Charm,False
35,Friend Guard,True
35,Magic Guard,False
36,Cute Charm,False
36,Magic Bounce,False
36,Magic Guard,False
36,Unaware,True
37,Drought,True
37,Flash Fire,False
37,Snow Cloak,False
37,Snow Warning,True
38,Drought,True
38,Flash Fire,False
38,Snow Cloak,False
38,Snow Warning,True
39,Competitive,False
39,Cute Charm,False
39,Friend Guard,True
40,Competitive,False
40,Cute Charm,False
40,Frisk,True
41,Infiltrator,True
41,Inner Focus,False
42,Infiltrator,True
42,Inner Focus,False
43,Chlorophyll,False
43,Run Away,True
44,Chlorophyll,False
44,Stench,True
45,Chlorophyll,False
45,Effect Spore,True
46,Damp,True
46,Dry Skin,False
46,Effect Spore,False
47,Damp,True
47,Dry Skin,False
47,Effect Spore,False
48,Compound Eyes,False
48,Run Away,True
48,Tinted Lens,False
49,Shield Dust,False
49,Tinted Lens,False
49,Wonder Skin,True
50,Arena Trap,False
50,Sand Force,True
50,Sand Veil,False
50,Tangling Hair,False
51,Arena Trap,False
51,Sand Force,True
51,Sand Veil,False
51,Tangling Hair,False
52,Pickup,False
52,Rattled,True
52,Technician,False
52,Tough Claws,False
52,Unnerve,True
53,Fur Coat,False
53,Limber,False
53,Rattled,True
53,Technician,False
53,Unnerve,True
54,Cloud Nine,False
54,Damp,False
54,Swift Swim,True
55,Cloud Nine,False
55,Damp,False
55,Swift Swim,True
56,Anger Point,False
56,Defiant,True
56,Vital Spirit,False
57,Anger Point,False
57,Defiant,True
57,Vital Spirit,False
58,Flash Fire,False
58,Intimidate,False
58,Justified,True
58,Rock Head,True
59,Flash Fire,False
59,Intimidate,False
59,Justified,True
59,Rock Head,True
60,Damp,False
60,Swift Swim,True
60,Water Absorb,False
61,Damp,False
61,Swift Swim,True
61,Water Absorb,False
62,Damp,False
62,Swift Swim,True
62,Water Absorb,False
63,Inner Focus,False
63,Magic Guard,True
63,Synchronize,False
64,Inner Focus,False
64,Magic Guard,True
64,Synchronize,False
65,Inner Focus,False
65,Magic Guard,True
65,Synchronize,False
65,Trace,False
66,Guts,False
66,No Guard,False
66,Steadfast,True
67,Guts,False
67,No Guard,False
67,Steadfast,True
68,Guts,False
68,No Guard,False
68,Steadfast,True
69,Chlorophyll,False
69,Gluttony,True
70,Chlorophyll,False
70,Gluttony,True
71,Chlorophyll,False
71,Gluttony,True
71,Innards Out,False
72,Clear Body,False
72,Liquid Ooze,False
72,Rain Dish,True
73,Clear Body,False
73,Liquid Ooze,False
73,Rain Dish,True
74,Galvanize,True
74,Magnet Pull,False
74,Rock Head,False
74,Sand Veil,True
74,Sturdy,False
75,Galvanize,True
75,Magnet Pull,False
75,Rock Head,False
75,Sand Veil,True
75,Sturdy,False
76,Galvanize,True
76,Magnet Pull,False
76,Rock Head,False
76,Sand Veil,True
76,Sturdy,False
77,Anticipation,True
77,Flame Body,True
77,Flash Fire,False
77,Pastel Veil,False
77,Run Away,False
78,Anticipation,True
78,Flame Body,True
78,Flash Fire,False
78,Pastel Veil,False
78,Run Away,False
79,Gluttony,False
79,Oblivious,False
79,Own Tempo,False
79,Regenerator,True
80,Oblivious,False
80,Own Tempo,False
80,Quick Draw,False
80,Regenerator,True
80,Shell Armor,False
81,Analytic,True
81,Magnet Pull,False
81,Sturdy,False
82,Analytic,True
82,Magnet Pull,False
82,Sturdy,False
83,Defiant,True
83,Inner Focus,False
83,Keen Eye,False
83,Scrappy,True
83,Steadfast,False
84,Early Bird,False
84,Run Away,False
84,Tangled Feet,True
85,Early Bird,False
85,Run Away,False
85,Tangled Feet,True
86,Hydration,False
86,Ice Body,True
86,Thick Fat,False
87,Hydration,False
87,Ice Body,True
87,Thick Fat,False
88,Gluttony,False
88,Poison Touch,False
88,Poison Touch,True
88,Power Of Alchemy,True
88,Stench,False
88,Sticky Hold,False
89,Gluttony,False
89,Poison Touch,False
89,Poison Touch,True
89,Power Of Alchemy,True
89,Stench,False
89,Sticky Hold,False
90,Overcoat,True
90,Shell Armor,False
90,Skill Link,False
91,Overcoat,True
91,Shell Armor,False
91,Skill Link,False
92,Levitate,False
93,Levitate,False
94,Cursed Body,False
94,Shadow Tag,False
95,Rock Head,False
95,Sturdy,False
95,Weak Armor,True
96,Forewarn,False
96,Inner Focus,True
96,Insomnia,False
97,Forewarn,False
97,Inner Focus,True
97,Insomnia,False
98,Hyper Cutter,False
98,Sheer Force,True
98,Shell Armor,False
99,Hyper Cutter,False
99,Sheer Force,True
99,Shell Armor,False
100,Aftermath,True
100,Soundproof,False
100,Static,False
101,Aftermath,True
101,Soundproof,False
101,Static,False
102,Chlorophyll,False
102,Harvest,True
103,Chlorophyll,False
103,Frisk,False
103,Harvest,True
104,Battle Armor,True
104,Lightning Rod,False
104,Rock Head,False
105,Battle Armor,True
105,Cursed Body,False
105,Lightning Rod,False
105,Rock Head,False
105,Rock Head,True
106,Limber,False
106,Reckless,False
106,Unburden,True
107,Inner Focus,True
107,Iron Fist,False
107,Keen Eye,False
108,Cloud Nine,True
108,Oblivious,False
108,Own Tempo,False
109,Levitate,False
109,Neutralizing Gas,False
109,Stench,True
110,Levitate,False
110,Misty Surge,True
110,Neutralizing Gas,False
110,Stench,True
111,Lightning Rod,False
111,Reckless,True
111,Rock Head,False
112,Lightning Rod,False
112,Reckless,True
112,Rock Head,False
113,Healer,True
113,Natural Cure,False
113,Serene Grace,False
114,Chlorophyll,False
114,Leaf Guard,False
114,Regenerator,True
115,Early Bird,False
115,Inner Focus,True
115,Parental Bond,False
115,Scrappy,False
116,Damp,True
116,Sniper,False
116,Swift Swim,False
117,Damp,True
117,Poison Point,False
117,Sniper,False
118,Lightning Rod,True
118,Swift Swim,False
118,Water Veil,False
119,Lightning Rod,True
119,Swift Swim,False
119,Water Veil,False
120,Analytic,True
120,Illuminate,False
120,Natural Cure,False
121,Analytic,True
121,Huge Power,False
121,Illuminate,False
121,Natural Cure,False
122,Filter,False
122,Ice Body,True
122,Screen Cleaner,False
122,Soundproof,False
122,Technician,True
122,Vital Spirit,False
123,Steadfast,True
123,Swarm,False
123,Technician,False
124,Dry Skin,True
124,Forewarn,False
124,Oblivious,False
125,Static,False
125,Vital Spirit,True
126,Flame Body,False
126,Vital Spirit,True
127,Aerilate,False
127,Hyper Cutter,False
127,Mold Breaker,False
127,Moxie,True
128,Anger Point,False
128,Cud Chew,True
128,Intimidate,False
128,Sheer Force,True
129,Rattled,True
129,Swift Swim,False
130,Intimidate,False
130,Mold Breaker,False
130,Moxie,True
131,Hydration,True
131,Shell Armor,False
131,Water Absorb,False
132,Imposter,True
132,Limber,False
133,Adaptability,False
133,Anticipation,True
133,Run Away,False
134,Hydration,True
134,Water Absorb,False
135,Quick Feet,True
135,Volt Absorb,False
136,Flash Fire,False
136,Guts,True
137,Analytic,True
137,Download,False
137,Trace,False
138,Shell Armor,False
138,Swift Swim,False
138,Weak Armor,True
139,Shell Armor,False
139,Swift Swim,False
139,Weak Armor,True
140,Battle Armor,False
140,Swift Swim,False
140,Weak Armor,True
141,Battle Armor,False
141,Swift Swim,False
141,Weak Armor,True
142,Pressure,False
142,Rock Head,False
142,Tough Claws,False
142,Unnerve,True
143,Gluttony,True
143,Immunity,False
143,Thick Fat,False
144,Competitive,False
144,Pressure,False
144,Snow Cloak,True
145,Defiant,False
145,Pressure,False
145,Static,True
146,Berserk,False
146,Flame Body,True
146,Pressure,False
147,Marvel Scale,True
147,Shed Skin,False
148,Marvel Scale,True
148,Shed Skin,False
149,Inner Focus,False
149,Multiscale,False
149,Multiscale,True
150,Insomnia,False
150,Pressure,False
150,Steadfast,False
150,Unnerve,True
151,Synchronize,False
152,Leaf Guard,True
152,Overgrow,False
153,Leaf Guard,True
153,Overgrow,False
154,Leaf Guard,True
154,Mega Sol,False
154,Overgrow,False
155,Blaze,False
155,Flash Fire,True
156,Blaze,False
156,Flash Fire,True
157,Blaze,False
157,Flash Fire,True
157,Frisk,True
158,Sheer Force,True
158,Torrent,False
159,Sheer Force,True
159,Torrent,False
160,Dragonize,False
160,Sheer Force,True
160,Torrent,False
161,Frisk,True
161,Keen Eye,False
161,Run Away,False
162,Frisk,True
162,Keen Eye,False
162,Run Away,False
163,Insomnia,False
163,Keen Eye,False
163,Tinted Lens,True
164,Insomnia,False
164,Keen Eye,False
164,Tinted Lens,True
165,Early Bird,False
