Number,Region,AreaName,EncounterRate
2,Kalos,Friend Safari (Grass),33
5,Kalos,Friend Safari (Fire),33
8,Kalos,Friend Safari (Water),33
10,Alola,Alola Route 1 East,20
10,Alola,Alola Route 1 South,25
10,Alola,Alola Route 1 West,35
10,Alola,Alola Route 5 Area,25
10,Alola,Lush Jungle North,15
10,Alola,Lush Jungle South,25
10,Alola,Lush Jungle West,15
10,Alola,Melemele Meadow Area,25
10,Johto,Azalea Town,100
10,Johto,Ilex Forest,100
10,Johto,Lake of Rage,100
10,Johto,National Park,80
10,Johto,Road 30,100
10,Johto,Road 31,100
10,Johto,Road 34,100
10,Johto,Road 35,100
10,Johto,Road 36,100
10,Johto,Road 37,100
10,Johto,Road 38,100
10,Johto,Road 39,100
10,Johto,Unknown Area; all bugs,100
10,Kalos,Road 2,11
10,Kalos,Santalune Forest,20
10,Kanto,Pattern Bush,10
10,Kanto,"Road 2 (north, towards Pewter City)",100
10,Kanto,"Road 2 (south, towards Viridian City)",100
10,Kanto,Road 24,100
10,Kanto,Road 25,60
10,Kanto,Road 26,100
10,Kanto,Road 27,100
10,Kanto,Viridian Forest,100
10,Sinnoh,Eterna Forest,4
10,Sinnoh,"Road 204 (north, towards Floaroma Town)",8
10,Sinnoh,"Road 204 (south, towards Jubilife City)",8
11,Alola,Alola Route 1 South,10
11,Alola,Alola Route 1 West,10
11,Alola,Alola Route 5 Area,9
11,Alola,Lush Jungle North,10
11,Alola,Lush Jungle South,10
11,Alola,Lush Jungle West,10
11,Alola,Melemele Meadow Area,9
11,Johto,Azalea Town,30
11,Johto,Ilex Forest,90
11,Johto,Lake of Rage,30
11,Johto,National Park,60
11,Johto,Road 30,25
11,Johto,Road 31,30
11,Johto,Road 34,30
11,Johto,Road 35,30
11,Johto,Road 36,30
11,Johto,Road 37,30
11,Johto,Road 38,30
11,Johto,Road 39,30
11,Kalos,Santalune Forest,4
11,Kanto,Pattern Bush,5
11,Kanto,"Road 2 (north, towards Pewter City)",20
11,Kanto,"Road 2 (south, towards Viridian City)",40
11,Kanto,Road 24,20
11,Kanto,Road 25,20
11,Kanto,Road 26,30
11,Kanto,Road 27,30
11,Kanto,Viridian Forest,100
11,Sinnoh,Eterna Forest,8
11,Unova,Road 12,20
12,Alola,Alola Route 5 Area,31
12,Alola,Lush Jungle North,15
12,Alola,Lush Jungle South,30
12,Alola,Lush Jungle West,15
12,Alola,Melemele Meadow Area,31
12,Johto,Azalea Town,15
12,Johto,Ilex Forest,15
12,Johto,Lake of Rage,15
12,Johto,Road 34,15
12,Johto,Road 35,15
12,Johto,Road 36,15
12,Johto,Road 37,15
12,Johto,Road 38,15
12,Johto,Road 39,15
12,Kalos,Friend Safari (Bug),33
12,Kanto,"Road 2 (north, towards Pewter City)",20
12,Kanto,"Road 2 (south, towards Viridian City)",20
12,Kanto,Road 24,10
12,Kanto,Road 25,10
12,Kanto,Road 26,15
12,Kanto,Road 27,15
12,Kanto,Viridian Forest,100
12,Unova,Pinwheel Forest (Hidden Grotto – Inner area),20
