TypeName,StrongAgainst,WeakAgainst,ResistantTo,ImmuneFrom
Normal,,Fighting,,Ghost
Fire,Bug;Steel;Grass;Ice,Ground;Rock;Water,Bug;Steel;Fire;Grass;Ice;Fairy,
Water,Ground;Rock;Fire,Grass;Electric,Steel;Fire;Water;Ice,
Electric,Flying;Water,Ground,Flying;Steel;Electric,
Grass,Ground;Rock;Water,Flying;Poison;Bug;Fire;Ice,Ground;Water;Grass;Electric,
Ice,Flying;Ground;Grass;Dragon,Fighting;Rock;Steel;Fire,Ice,
Fighting,Normal;Rock;Steel;Ice;Dark,Flying;Psychic;Fairy,Rock;Bug;Dark,
Poison,Grass;Fairy,Ground;Psychic,Fighting;Poison;Bug;Grass;Fairy,
Ground,Poison;Rock;Steel;Fire;Electric,Water;Grass;Ice,Poison;Rock,Electric
Flying,Fighting;Bug;Grass,Rock;Electric;Ice,Fighting;Bug;Grass,Ground
Psychic,Fighting;Poison,Bug;Ghost;Dark,Fighting;Psychic,
Bug,Grass;Psychic;Dark,Flying;Rock;Fire,Fighting;Ground;Grass,
Rock,Flying;Bug;Fire;Ice,Fighting;Ground;Steel;Water;Grass,Normal;Flying;Poison;Fire,
Ghost,Ghost;Psychic,Ghost;Dark,Poison;Bug,Normal;Fighting
Dragon,Dragon,Ice;Dragon;Fairy,Fire;Water;Grass;Electric,
Dark,Ghost;Psychic,Fighting;Bug;Fairy,Ghost;Dark,Psychic
Steel,Rock;Ice;Fairy,Fighting;Ground;Fire,Normal;Flying;Rock;Bug;Steel;Grass;Psychic;Ice;Dragon;Fairy,Poison
Fairy,Fighting;Dragon;Dark,Poison;Steel,Fighting;Bug;Dark,Dragon
