species_id,evolves_into_id,trigger,min_level,min_happiness,trigger_item,time_of_day,location,held_item,known_move,chain_id
1,2,level-up,16,,,,,,,1
2,3,level-up,32,,,,,,,1
4,5,level-up,16,,,,,,,2
5,6,level-up,36,,,,,,,2
7,8,level-up,16,,,,,,,3
8,9,level-up,36,,,,,,,3
10,11,level-up,7,,,,,,,4
11,12,level-up,10,,,,,,,4
13,14,level-up,7,,,,,,,5
14,15,level-up,10,,,,,,,5
16,17,level-up,18,,,,,,,6
17,18,level-up,36,,,,,,,6
19,20,level-up,20,,,,,,,7
21,22,level-up,20,,,,,,,8
23,24,level-up,22,,,,,,,9
25,26,use-item,,,thunder-stone,,,,,10
172,25,level-up,,220,,,,,,10
27,28,level-up,22,,,,,,,11
29,30,level-up,16,,,,,,,12
30,31,use-item,,,moon-stone,,,,,12
32,33,level-up,16,,,,,,,13
33,34,use-item,,,moon-stone,,,,,13
35,36,use-item,,,moon-stone,,,,,14
173,35,level-up,,160,,,,,,14
37,38,use-item,,,fire-stone,,,,,15
39,40,use-item,,,moon-stone,,,,,16
174,39,level-up,,160,,,,,,16
41,42,level-up,22,,,,,,,17
42,169,level-up,,160,,,,,,17
43,44,level-up,21,,,,,,,18
44,45,use-item,,,leaf-stone,,,,,18
44,182,use-item,,,sun-stone,,,,,18
46,47,level-up,24,,,,,,,19
48,49,level-up,31,,,,,,,20
50,51,level-up,26,,,,,,,21
52,53,level-up,28,,,,,,,22
52,863,level-up,28,,,,,,,22
54,55,level-up,33,,,,,,,23
56,57,level-up,28,,,,,,,24
57,979,use-move,,,,,,,,24
58,59,use-item,,,fire-stone,,,,,25
60,61,level-up,25,,,,,,,26
61,62,use-item,,,water-stone,,,,,26
61,186,trade,,,,,,kings-rock,,26
63,64,level-up,16,,,,,,,27
64,65,trade,,,,,,,,27
66,67,level-up,28,,,,,,,28
67,68,trade,,,,,,,,28
69,70,level-up,21,,,,,,,29
70,71,use-item,,,leaf-stone,,,,,29
72,73,level-up,30,,,,,,,30
74,75,level-up,25,,,,,,,31
75,76,trade,,,,,,,,31
77,78,level-up,40,,,,,,,32
79,80,level-up,37,,,,,,,33
79,199,trade,,,,,,kings-rock,,33
81,82,level-up,30,,,,,,,34
82,462,level-up,,,,,mt-coronet,,,34
83,865,three-critical-hits,,,,,,,,35
84,85,level-up,31,,,,,,,36
86,87,level-up,34,,,,,,,37
88,89,level-up,38,,,,,,,38
90,91,use-item,,,water-stone,,,,,39
92,93,level-up,25,,,,,,,40
93,94,trade,,,,,,,,40
95,208,trade,,,,,,metal-coat,,41
96,97,level-up,26,,,,,,,42
98,99,level-up,28,,,,,,,43
100,101,level-up,30,,,,,,,44
102,103,use-item,,,leaf-stone,,,,,45
104,105,level-up,28,,,,,,,46
236,106,level-up,20,,,,,,,47
236,107,level-up,20,,,,,,,47
236,237,level-up,20,,,,,,,47
108,463,level-up,,,,,,,rollout,48
109,110,level-up,35,,,,,,,49
111,112,level-up,42,,,,,,,50
112,464,trade,,,,,,protector,,50
113,242,level-up,,160,,,,,,51
440,113,level-up,,,,day,,oval-stone,,51
114,465,level-up,,,,,,,ancient-power,52
116,117,level-up,32,,,,,,,54
117,230,trade,,,,,,dragon-scale,,54
118,119,level-up,33,,,,,,,55
120,121,use-item,,,water-stone,,,,,56
122,866,level-up,42,,,,,,,57
439,122,level-up,,,,,,,mimic,57
123,212,trade,,,,,,metal-coat,,58
123,900,use-item,,,black-augurite,,,,,58
238,124,level-up,30,,,,,,,59
125,466,trade,,,,,,electirizer,,60
239,125,level-up,30,,,,,,,60
126,467,trade,,,,,,magmarizer,,61
240,126,level-up,30,,,,,,,61
129,130,level-up,20,,,,,,,64
133,134,use-item,,,water-stone,,,,,67
