Number,HeightM,WeightKg,BaseExperience,ArtworkURL,AnimatedGifURL,CaptureRate,BaseHappiness,GenderRate,Genus,FlavorText,Color,Shape,Habitat,EggGroup1,EggGroup2,GrowthRate
1,0.7,6.9,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/1.gif,45,70,1,Seed Pokémon,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",Green,Quadruped,Grassland,Monster,Plant,Medium Slow
2,1.0,13.0,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/2.gif,45,70,1,Seed Pokémon,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,Green,Quadruped,Grassland,Monster,Plant,Medium Slow
3,2.0,100.0,236,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/3.gif,45,70,1,Seed Pokémon,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,Green,Quadruped,Grassland,Monster,Plant,Medium Slow
4,0.6,8.5,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/4.gif,45,70,1,Lizard Pokémon,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",Red,Upright,Mountain,Monster,Dragon,Medium Slow
5,1.1,19.0,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/5.gif,45,70,1,Flame Pokémon,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",Red,Upright,Mountain,Monster,Dragon,Medium Slow
6,1.7,90.5,240,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/6.gif,45,70,1,Flame Pokémon,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",Red,Upright,Mountain,Monster,Dragon,Medium Slow
7,0.5,9.0,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/7.gif,45,70,1,Tiny Turtle Pokémon,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",Blue,Upright,Waters Edge,Monster,Water1,Medium Slow
8,1.0,22.5,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/8.gif,45,70,1,Turtle Pokémon,It cleverly controls its furry ears and tail to maintain its balance while swimming.,Blue,Upright,Waters Edge,Monster,Water1,Medium Slow
9,1.6,85.5,239,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/9.gif,45,70,1,Shellfish Pokémon,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,Blue,Upright,Waters Edge,Monster,Water1,Medium Slow
10,0.3,2.9,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/10.gif,255,70,4,Worm Pokémon,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,Green,Armor,Forest,Bug,,Medium
11,0.7,9.9,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/11.gif,120,70,4,Cocoon Pokémon,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.",Green,Squiggle,Forest,Bug,,Medium
12,1.1,32.0,178,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/12.gif,45,70,4,Butterfly Pokémon,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,White,Bug Wings,Forest,Bug,,Medium
13,0.3,3.2,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/13.gif,255,70,4,Hairy Bug Pokémon,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,Brown,Armor,Forest,Bug,,Medium
14,0.6,10.0,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/14.gif,120,70,4,Cocoon Pokémon,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",Yellow,Squiggle,Forest,Bug,,Medium
15,1.0,29.5,178,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/15.gif,45,70,4,Poison Bee Pokémon,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Yellow,Bug Wings,Forest,Bug,,Medium
16,0.3,1.8,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/16.gif,255,70,4,Tiny Bird Pokémon,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",Brown,Wings,Forest,Flying,,Medium Slow
17,1.1,30.0,122,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/17.gif,120,70,4,Bird Pokémon,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,Brown,Wings,Forest,Flying,,Medium Slow
18,1.5,39.5,216,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/18.gif,45,70,4,Bird Pokémon,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",Brown,Wings,Forest,Flying,,Medium Slow
19,0.3,3.5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/19.gif,255,70,4,Mouse Pokémon,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",Purple,Quadruped,Grassland,Ground,,Medium
20,0.7,18.5,145,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/20.gif,127,70,4,Mouse Pokémon,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",Brown,Quadruped,Grassland,Ground,,Medium
21,0.3,2.0,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/21.gif,255,70,4,Tiny Bird Pokémon,"Inept at flying high. However, it can fly around very fast to protect its territory.",Brown,Wings,Rough Terrain,Flying,,Medium
22,1.2,38.0,155,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/22.gif,90,70,4,Beak Pokémon,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",Brown,Wings,Rough Terrain,Flying,,Medium
23,2.0,6.9,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/23.gif,255,70,4,Snake Pokémon,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",Purple,Squiggle,Grassland,Ground,Dragon,Medium
24,3.5,65.0,157,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/24.gif,90,70,4,Cobra Pokémon,The frightening patterns on its belly have been studied. Six variations have been confirmed.,Purple,Squiggle,Grassland,Ground,Dragon,Medium
25,0.4,6.0,112,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/25.gif,190,70,4,Mouse Pokémon,Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.,Yellow,Quadruped,Forest,Ground,Fairy,Medium
26,0.8,30.0,218,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/26.gif,75,70,4,Mouse Pokémon,"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland.",Yellow,Upright,Forest,Ground,Fairy,Medium
27,0.6,12.0,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/27.gif,255,70,4,Mouse Pokémon,"It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging.",Yellow,Upright,Rough Terrain,Ground,,Medium
28,1.0,29.5,158,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/28.gif,90,70,4,Mouse Pokémon,"It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree.",Yellow,Upright,Rough Terrain,Ground,,Medium
29,0.4,7.0,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/29.gif,235,70,8,Poison Pin Pokémon,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.,Blue,Quadruped,Grassland,Monster,Ground,Medium Slow
30,0.8,20.0,128,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/30.gif,120,70,8,Poison Pin Pokémon,"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.",Blue,Quadruped,Grassland,No Eggs,,Medium Slow
31,1.3,60.0,227,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/31.gif,45,70,8,Drill Pokémon,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,Blue,Upright,Grassland,No Eggs,,Medium Slow
32,0.5,9.0,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/32.gif,235,70,0,Poison Pin Pokémon,"Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.",Purple,Quadruped,Grassland,Monster,Ground,Medium Slow
33,0.9,19.5,128,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/33.gif,120,70,0,Poison Pin Pokémon,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,Purple,Quadruped,Grassland,Monster,Ground,Medium Slow
34,1.4,62.0,227,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/34.gif,45,70,0,Drill Pokémon,"Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.",Purple,Upright,Grassland,Monster,Ground,Medium Slow
35,0.6,7.5,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/35.gif,150,140,6,Fairy Pokémon,"It can be found in quiet mountain areas on a full moon's night. Its dancing and its tiny, faintly glowing wings confer upon it a lovely fairylike quality.",Pink,Upright,Mountain,Fairy,,Fast
36,1.3,40.0,217,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/36.gif,25,140,6,Fairy Pokémon,"Legend says that on clear, quiet nights, it listens for the voices of its kin living on the moon. I, too, often think of my homeland, so far away.",Pink,Upright,Mountain,Fairy,,Fast
37,0.6,9.9,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/37.gif,190,70,6,Fox Pokémon,"In its belly burns a fire, which Vulpix spits out in the form of fireballs. When young, this Pokémon has but one white tail. As the Pokémon matures, this single tail splits into six.",Brown,Quadruped,Grassland,Ground,,Medium
38,1.1,19.9,177,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/38.gif,75,70,6,Fox Pokémon,The coat of gleaming golden fur is quite magnificent. This species is said to store sacred power in its nine long tails and to live for a millennium.,Yellow,Quadruped,Grassland,Ground,,Medium
39,0.5,5.5,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/39.gif,170,70,6,Balloon Pokémon,"By freely changing the wavelength of its voice, Jigglypuff sings a mysterious melody sure to make any listener sleepy.",Pink,Humanoid,Grassland,Fairy,,Fast
40,1.0,12.0,196,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/40.gif,50,70,6,Balloon Pokémon,"It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly.",Pink,Humanoid,Grassland,Fairy,,Fast
41,0.8,7.5,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/41.gif,255,70,4,Bat Pokémon,"Makes its home in gloomy caves. Atrophied eyes have left this Pokémon blind, so it scans its surroundings via sound waves that it emits from its mouth as it flies.",Purple,Wings,Cave,Flying,,Medium
42,1.6,55.0,159,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/42.gif,90,70,4,Bat Pokémon,It sinks its sharp fangs into other creatures and slurps up their blood. A closer look at the fangs reveals that they are hollow and akin to straws.,Purple,Wings,Cave,Flying,,Medium
43,0.5,5.4,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/43.gif,255,70,4,Weed Pokémon,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",Blue,Legs,Grassland,Plant,,Medium Slow
44,0.8,8.6,138,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/44.gif,120,70,4,Weed Pokémon,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,Blue,Humanoid,Grassland,Plant,,Medium Slow
45,1.2,18.6,221,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/45.gif,45,70,4,Flower Pokémon,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",Red,Humanoid,Grassland,Plant,,Medium Slow
46,0.3,5.4,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/46.gif,190,70,4,Mushroom Pokémon,Sometimes seen at the foot of trees in humid forests. The mushrooms on its back—called tochukaso—are not present on infant specimens and instead emerge as Paras matures.,Red,Armor,Forest,Bug,Plant,Medium
47,1.0,29.5,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/47.gif,75,70,4,Mushroom Pokémon,"Mushroom-lacking specimens of this Pokémon lie unmoving in the forest, lending credence to the hypothesis that the large mushroom is in control of Parasect's actions.",Red,Armor,Forest,Bug,Plant,Medium
